"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Blog article page","","0","3","3","0","0"
"","Customer Stories page","","0","3","3","0","0"
"","Global coverage page","","0","6","3","0","0"
"","Integrations page","","0","3","3","0","0"
"","Blog page","","0","12","3","0","0"
"","Support Center page","","0","6","6","0","0"
"","Solutions page","","0","3","3","0","0"
"","Microsoft Teams page","","0","6","3","0","0"
"","IoT Sim Cards page","","0","6","3","0","0"
"","Release Notes page","","0","6","3","0","0"
"","Numbers Pricing page","","0","3","3","0","0"
"","Telnyx Vs TwilioPage page","","0","3","3","0","0"
