"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 11 06:53:35 GMT 2023","Mon Dec 11 06:53:37 GMT 2023","2235","","Blog article page","","","","""before each"" hook for Blog article page",""
"passed","Mon Dec 11 06:50:09 GMT 2023","Mon Dec 11 06:50:12 GMT 2023","3287","","Customer Stories page","","","","""before each"" hook for Customer Stories page",""
"broken","Mon Dec 11 06:54:44 GMT 2023","Mon Dec 11 06:54:54 GMT 2023","10224","","Global coverage page","","","","should allow a user to submit a form with valid data",""
"passed","Mon Dec 11 06:55:07 GMT 2023","Mon Dec 11 06:55:09 GMT 2023","2239","","Integrations page","","","","""before each"" hook for Integrations page",""
"broken","Mon Dec 11 06:58:23 GMT 2023","Mon Dec 11 06:58:32 GMT 2023","9016","","Blog page","","","","should NOT find results for an invalid sarch value",""
"passed","Mon Dec 11 06:57:41 GMT 2023","Mon Dec 11 06:57:44 GMT 2023","3293","","Blog article page","","","","""before each"" hook for Blog article page",""
"passed","Mon Dec 11 07:00:45 GMT 2023","Mon Dec 11 07:00:49 GMT 2023","3074","","Support Center page","","","","""before each"" hook for Support Center page",""
"broken","Mon Dec 11 06:56:48 GMT 2023","Mon Dec 11 06:56:58 GMT 2023","10290","","Support Center page","","","","should NOT find results for an invalid sarch value",""
"broken","Mon Dec 11 07:00:21 GMT 2023","Mon Dec 11 07:00:32 GMT 2023","11165","","Solutions page","","","","should allow a user to filter departments",""
"broken","Mon Dec 11 06:58:14 GMT 2023","Mon Dec 11 06:58:23 GMT 2023","8922","","Blog page","","","","should find results for a valid sarch value",""
"passed","Mon Dec 11 06:49:57 GMT 2023","Mon Dec 11 06:49:58 GMT 2023","745","","Blog page","","","","""before each"" hook for Blog page",""
"passed","Mon Dec 11 07:00:57 GMT 2023","Mon Dec 11 07:00:57 GMT 2023","179","","Support Center page","","","","""after each"" hook for Support Center page",""
"broken","Mon Dec 11 06:49:28 GMT 2023","Mon Dec 11 06:49:39 GMT 2023","11085","","Blog page","","","","should display pagination",""
"broken","Mon Dec 11 06:59:34 GMT 2023","Mon Dec 11 06:59:43 GMT 2023","9109","","Microsoft Teams page","","","","should NOT allow a user to submit a form with invalid data",""
"broken","Mon Dec 11 06:53:59 GMT 2023","Mon Dec 11 06:54:08 GMT 2023","9111","","Blog page","","","","should allow a user to sort articles",""
"broken","Mon Dec 11 06:53:48 GMT 2023","Mon Dec 11 06:53:59 GMT 2023","10277","","Blog page","","","","should display pagination",""
"broken","Mon Dec 11 06:55:31 GMT 2023","Mon Dec 11 06:55:41 GMT 2023","9126","","Microsoft Teams page","","","","should NOT allow a user to submit a form with invalid data",""
"passed","Mon Dec 11 06:53:22 GMT 2023","Mon Dec 11 06:53:23 GMT 2023","1269","","IoT Sim Cards page","","","","""before each"" hook for IoT Sim Cards page",""
"passed","Mon Dec 11 06:52:26 GMT 2023","Mon Dec 11 06:52:29 GMT 2023","2935","","Support Center page","","","","""before each"" hook for Support Center page",""
"passed","Mon Dec 11 06:59:09 GMT 2023","Mon Dec 11 06:59:12 GMT 2023","3246","","Integrations page","","","","""before each"" hook for Integrations page",""
"broken","Mon Dec 11 06:53:35 GMT 2023","Mon Dec 11 06:53:45 GMT 2023","10196","","Blog article page","","","","should display main elements",""
"broken","Mon Dec 11 06:53:10 GMT 2023","Mon Dec 11 06:53:21 GMT 2023","11162","","IoT Sim Cards page","","","","should allow a user to submit a form with valid data",""
"broken","Mon Dec 11 06:55:58 GMT 2023","Mon Dec 11 06:56:08 GMT 2023","10149","","Release Notes page","","","","should allow a user to filter notes",""
"passed","Mon Dec 11 06:52:37 GMT 2023","Mon Dec 11 06:52:37 GMT 2023","173","","Support Center page","","","","""after each"" hook for Support Center page",""
"broken","Mon Dec 11 06:52:01 GMT 2023","Mon Dec 11 06:52:12 GMT 2023","11123","","Solutions page","","","","should allow a user to filter departments",""
"broken","Mon Dec 11 07:00:34 GMT 2023","Mon Dec 11 07:00:45 GMT 2023","11328","","Support Center page","","","","should find results for a valid sarch value",""
"broken","Mon Dec 11 06:57:18 GMT 2023","Mon Dec 11 06:57:29 GMT 2023","11287","","IoT Sim Cards page","","","","should allow a user to submit a form with valid data",""
"broken","Mon Dec 11 06:55:44 GMT 2023","Mon Dec 11 06:55:54 GMT 2023","10088","","Numbers Pricing page","","","","should allow a user to use filters",""
"broken","Mon Dec 11 07:00:59 GMT 2023","Mon Dec 11 07:01:10 GMT 2023","11422","","Telnyx Vs TwilioPage page","","","","should allow a user to submit a form with valid data",""
"broken","Mon Dec 11 06:55:07 GMT 2023","Mon Dec 11 06:55:17 GMT 2023","10212","","Integrations page","","","","should allow a user to use filters",""
"broken","Mon Dec 11 06:54:08 GMT 2023","Mon Dec 11 06:54:17 GMT 2023","9227","","Blog page","","","","should find results for a valid sarch value",""
"broken","Mon Dec 11 06:57:29 GMT 2023","Mon Dec 11 06:57:39 GMT 2023","9338","","IoT Sim Cards page","","","","should NOT allow a user to submit a form with invalid data",""
"passed","Mon Dec 11 06:52:40 GMT 2023","Mon Dec 11 06:52:45 GMT 2023","4337","","Telnyx Vs TwilioPage page","","","","""before each"" hook for Telnyx Vs TwilioPage page",""
"passed","Mon Dec 11 06:50:46 GMT 2023","Mon Dec 11 06:50:49 GMT 2023","2356","","Integrations page","","","","""before each"" hook for Integrations page",""
"broken","Mon Dec 11 06:49:15 GMT 2023","Mon Dec 11 06:49:25 GMT 2023","10658","","Blog article page","","","","should display main elements",""
"broken","Mon Dec 11 06:58:34 GMT 2023","Mon Dec 11 06:58:45 GMT 2023","11021","","Customer Stories page","","","","should open an article",""
"broken","Mon Dec 11 06:49:48 GMT 2023","Mon Dec 11 06:49:57 GMT 2023","8798","","Blog page","","","","should find results for a valid sarch value",""
"passed","Mon Dec 11 07:00:59 GMT 2023","Mon Dec 11 07:01:02 GMT 2023","2991","","Telnyx Vs TwilioPage page","","","","""before each"" hook for Telnyx Vs TwilioPage page",""
"broken","Mon Dec 11 06:55:21 GMT 2023","Mon Dec 11 06:55:31 GMT 2023","10364","","Microsoft Teams page","","","","should allow a user to submit a form with valid data",""
"broken","Mon Dec 11 06:49:03 GMT 2023","Mon Dec 11 06:49:12 GMT 2023","8912","","IoT Sim Cards page","","","","should NOT allow a user to submit a form with invalid data",""
"broken","Mon Dec 11 06:49:39 GMT 2023","Mon Dec 11 06:49:48 GMT 2023","8892","","Blog page","","","","should allow a user to sort articles",""
"passed","Mon Dec 11 06:57:05 GMT 2023","Mon Dec 11 06:57:07 GMT 2023","2113","","Telnyx Vs TwilioPage page","","","","""before each"" hook for Telnyx Vs TwilioPage page",""
"passed","Mon Dec 11 06:51:49 GMT 2023","Mon Dec 11 06:51:49 GMT 2023","775","","Release Notes page","","","","""before each"" hook for Release Notes page",""
"broken","Mon Dec 11 06:58:58 GMT 2023","Mon Dec 11 06:59:07 GMT 2023","9106","","Global coverage page","","","","should NOT allow a user to submit a form with invalid data",""
"passed","Mon Dec 11 06:59:45 GMT 2023","Mon Dec 11 06:59:48 GMT 2023","3320","","Numbers Pricing page","","","","""before each"" hook for Numbers Pricing page",""
"broken","Mon Dec 11 06:51:00 GMT 2023","Mon Dec 11 06:51:11 GMT 2023","11367","","Microsoft Teams page","","","","should allow a user to submit a form with valid data",""
"broken","Mon Dec 11 06:51:23 GMT 2023","Mon Dec 11 06:51:34 GMT 2023","10986","","Numbers Pricing page","","","","should allow a user to use filters",""
"passed","Mon Dec 11 06:54:30 GMT 2023","Mon Dec 11 06:54:32 GMT 2023","2620","","Customer Stories page","","","","""before each"" hook for Customer Stories page",""
"passed","Mon Dec 11 06:56:21 GMT 2023","Mon Dec 11 06:56:24 GMT 2023","2771","","Solutions page","","","","""before each"" hook for Solutions page",""
"broken","Mon Dec 11 06:49:57 GMT 2023","Mon Dec 11 06:50:06 GMT 2023","8801","","Blog page","","","","should NOT find results for an invalid sarch value",""
"broken","Mon Dec 11 06:52:15 GMT 2023","Mon Dec 11 06:52:26 GMT 2023","11257","","Support Center page","","","","should find results for a valid sarch value",""
"broken","Mon Dec 11 06:58:05 GMT 2023","Mon Dec 11 06:58:14 GMT 2023","9143","","Blog page","","","","should allow a user to sort articles",""
"broken","Mon Dec 11 06:50:23 GMT 2023","Mon Dec 11 06:50:34 GMT 2023","11129","","Global coverage page","","","","should allow a user to submit a form with valid data",""
"passed","Mon Dec 11 06:55:44 GMT 2023","Mon Dec 11 06:55:46 GMT 2023","2124","","Numbers Pricing page","","","","""before each"" hook for Numbers Pricing page",""
"broken","Mon Dec 11 06:50:09 GMT 2023","Mon Dec 11 06:50:20 GMT 2023","11339","","Customer Stories page","","","","should open an article",""
"passed","Mon Dec 11 06:58:58 GMT 2023","Mon Dec 11 06:58:59 GMT 2023","831","","Global coverage page","","","","""before each"" hook for Global coverage page",""
"broken","Mon Dec 11 06:50:46 GMT 2023","Mon Dec 11 06:50:57 GMT 2023","10433","","Integrations page","","","","should allow a user to use filters",""
"broken","Mon Dec 11 06:58:47 GMT 2023","Mon Dec 11 06:58:58 GMT 2023","11253","","Global coverage page","","","","should allow a user to submit a form with valid data",""
"broken","Mon Dec 11 06:52:40 GMT 2023","Mon Dec 11 06:52:53 GMT 2023","12479","","Telnyx Vs TwilioPage page","","","","should allow a user to submit a form with valid data",""
"broken","Mon Dec 11 07:00:10 GMT 2023","Mon Dec 11 07:00:19 GMT 2023","9393","","Release Notes page","","","","should display pagination",""
